iter	Logloss
0	0.4173000912
1	0.3080911116
2	0.2445918132
3	0.2077343473
4	0.1938116189
5	0.1845475314
6	0.1803924472
7	0.1766505436
8	0.1734204974
9	0.1716469723
10	0.1703497721
11	0.1682215134
12	0.1670866796
13	0.1662341373
14	0.1652554529
15	0.1640216704
16	0.16333134
17	0.1630079016
18	0.1622431727
19	0.1614583131
20	0.1610727843
21	0.1609293952
22	0.1603542675
23	0.1600993535
24	0.1598465035
25	0.1598410226
26	0.1595039662
27	0.1590908629
28	0.1589083035
29	0.1584007434
30	0.1576835782
31	0.1573765457
32	0.1572532588
33	0.1569912883
34	0.1568330354
35	0.1567193303
36	0.156490436
37	0.1563540757
38	0.1561445322
39	0.1560518191
40	0.1559160577
41	0.1557092287
42	0.1553908797
43	0.1552489476
44	0.1549381189
45	0.1548848564
46	0.1547477314
47	0.1546011415
48	0.1543408102
49	0.1538903369
50	0.1533399074
51	0.1533010399
52	0.1532921899
53	0.1531110142
54	0.1530192437
55	0.1528812606
56	0.1525836562
57	0.1524639586
58	0.1524563015
59	0.1522754685
60	0.1522060036
61	0.1521226342
62	0.1519845477
63	0.1519828406
64	0.1519661124
65	0.1519631698
66	0.1519631606
67	0.1518919037
68	0.1518870734
69	0.1518799123
70	0.1515509128
71	0.1514187107
72	0.1514024758
73	0.1514001573
74	0.1513960653
75	0.1513960642
76	0.1513960368
77	0.1513960356
78	0.1513852546
79	0.151178579
80	0.1511780238
81	0.1511779908
82	0.151177982
83	0.1510922173
84	0.150878503
85	0.1506672306
86	0.1506662199
87	0.1506297857
88	0.1505986482
89	0.1504635756
90	0.1500294173
91	0.1500262539
92	0.1500242425
93	0.1497958658
94	0.1497291038
95	0.1496237457
96	0.1496031752
97	0.1495873105
98	0.1495770562
99	0.1494923207
100	0.1493944173
101	0.1492266911
102	0.1492200038
103	0.1490735058
104	0.1490008851
105	0.1489963678
106	0.1489917056
107	0.1488610974
108	0.1488606284
109	0.1488220203
110	0.1488176766
111	0.1486787524
112	0.148575725
113	0.1483286228
114	0.1482412706
115	0.1480563057
116	0.14799536
117	0.1476412822
118	0.1476378318
119	0.1474661342
120	0.147411965
121	0.1474091608
122	0.1474085385
123	0.1473977468
124	0.1473962253
125	0.1473011446
126	0.1471956374
127	0.1471953236
128	0.1471873742
129	0.1471864502
130	0.1471848822
131	0.1470740614
132	0.1470710115
133	0.1470548384
134	0.1470548199
135	0.1468716246
136	0.1467647675
137	0.146754862
138	0.1465272538
139	0.1465172721
140	0.1465003415
141	0.1464904236
142	0.1464673706
143	0.1463938378
144	0.1463895468
145	0.1463689465
146	0.146359043
147	0.1463590289
148	0.1463531147
149	0.1462955063
150	0.1462840404
151	0.1462224705
152	0.1462119497
153	0.1461435041
154	0.1459534849
155	0.1459218153
156	0.1459101391
157	0.1458978738
158	0.1458714363
159	0.1457426585
160	0.1456805832
161	0.1456565481
162	0.1456517263
163	0.1456005224
164	0.1455709974
165	0.1455700363
166	0.145565897
167	0.1455627422
168	0.145508008
169	0.1453955456
170	0.1453788239
171	0.1453073198
172	0.1452953292
173	0.1452952238
174	0.1452035718
175	0.1450914033
176	0.1450486179
177	0.1449610843
178	0.1449411684
179	0.1449235178
180	0.1447848666
181	0.1447848133
182	0.1445988506
183	0.1445074749
184	0.1444152365
185	0.1443706057
186	0.1443630358
187	0.144350077
188	0.144346487
189	0.1443420185
190	0.1443199341
191	0.1442309049
192	0.1442309011
193	0.1439152162
194	0.1438722619
195	0.1437619631
196	0.1437563166
197	0.1437424705
198	0.1436939427
199	0.1436564602
200	0.1436537998
201	0.1436537839
202	0.1436154273
203	0.1436154075
204	0.1436136928
205	0.1436084745
206	0.1435998621
207	0.143599023
208	0.1435754554
209	0.1435718538
210	0.1435716881
211	0.1435663622
212	0.1435339368
213	0.1435339194
214	0.1434874183
215	0.1434488557
216	0.1434484273
217	0.1434464212
218	0.1433915455
219	0.143360021
220	0.143296009
221	0.1431421659
222	0.1431100543
223	0.1430841557
224	0.1430743301
225	0.1430690002
226	0.1430668696
227	0.143062319
228	0.1430577301
229	0.1430576393
230	0.1430549557
231	0.1430549271
232	0.1430507167
233	0.1430506245
234	0.143045386
235	0.1429973236
236	0.142997295
237	0.1429234466
238	0.1428841187
239	0.1428653861
240	0.1428497541
241	0.1427336662
242	0.1427335407
243	0.1427331967
244	0.142731988
245	0.1426580293
246	0.1425676126
247	0.1425196924
248	0.1424955815
249	0.1424897506
250	0.1424349091
251	0.1423602266
252	0.1422367112
253	0.1421914014
254	0.142191376
255	0.1421766952
256	0.1421726316
257	0.1421587915
258	0.1421068633
259	0.1419343432
260	0.1418210622
261	0.1417219049
262	0.1415763124
263	0.1414355896
264	0.1413636592
265	0.1412963504
266	0.1412892443
267	0.1411188795
268	0.1410782359
269	0.141075728
270	0.1410148584
271	0.1410109626
272	0.1410080661
273	0.140983014
274	0.1408508273
275	0.1407813026
276	0.1407660938
277	0.1406986694
278	0.1406738906
279	0.1406656104
280	0.1406091634
281	0.1405810236
282	0.1405807279
283	0.1405660027
284	0.1405517362
285	0.1405427031
286	0.1405416367
287	0.1405348351
288	0.1404994653
289	0.1404958814
290	0.1404835902
291	0.1404517691
292	0.1403774693
293	0.1403682903
294	0.1403015842
295	0.1402399089
296	0.1402099005
297	0.1401518246
298	0.1400608445
299	0.139934609
300	0.1398523632
301	0.1396966067
302	0.1396719193
303	0.1396424202
304	0.1396276321
305	0.1394836798
306	0.1394186768
307	0.1394159566
308	0.1394071242
309	0.1393605462
310	0.1393254373
311	0.139322476
312	0.1392449968
313	0.1391978747
314	0.1391624824
315	0.1390902224
316	0.1390424137
317	0.1389228832
318	0.1389007463
319	0.1388103041
320	0.1387935753
321	0.1387860409
322	0.1387243213
323	0.1387125083
324	0.1386550498
325	0.1386521521
326	0.1386255045
327	0.1384979841
328	0.1384726251
329	0.1384602802
330	0.1383899364
331	0.1383286923
332	0.1383208241
333	0.1383110743
334	0.1383005135
335	0.1382866763
336	0.1382428785
337	0.1382325091
338	0.1381108202
339	0.1381017927
340	0.1380348124
341	0.1380253385
342	0.1380253203
343	0.137989308
344	0.1379417087
345	0.1379367397
346	0.1378923646
347	0.1378880931
348	0.1377953014
349	0.1377910999
350	0.1377622403
351	0.1377512465
352	0.1377477578
353	0.1377327143
354	0.1376959868
355	0.1376928815
356	0.1376928738
357	0.1376563692
358	0.1376250232
359	0.1375936077
360	0.137563246
361	0.1375596937
362	0.1375111077
363	0.1373597685
364	0.1373052127
365	0.1373038956
366	0.1372307575
367	0.1371538339
368	0.1371452668
369	0.1371298182
370	0.1371298154
371	0.1370709495
372	0.1370028313
373	0.1369456047
374	0.1369455542
375	0.1369156561
376	0.1369155592
377	0.1369083193
378	0.1369083167
379	0.1369083142
380	0.1368750546
381	0.1368457425
382	0.1368114694
383	0.1367446681
384	0.1367446538
385	0.136712683
386	0.1366355053
387	0.136631366
388	0.136599781
389	0.1365880902
390	0.1365632311
391	0.1365542889
392	0.1364965527
393	0.1363398002
394	0.136183096
395	0.1361534412
396	0.136089675
397	0.1360628787
398	0.1360628351
399	0.1360374707
400	0.1359040611
401	0.1358986188
402	0.1358556373
403	0.1358405635
404	0.1358397977
405	0.1358346413
406	0.1358075281
407	0.1357639546
408	0.1356877541
409	0.1356272995
410	0.1355160909
411	0.1354985661
412	0.1354861301
413	0.1354626167
414	0.1354383978
415	0.1354319563
416	0.1353194336
417	0.135289113
418	0.135279083
419	0.1352224887
420	0.1351854971
421	0.1351822413
422	0.1351299009
423	0.1349640565
424	0.1349505324
425	0.1347918095
426	0.1347645554
427	0.1347498168
428	0.134721437
429	0.1346776957
430	0.1346126856
431	0.134561166
432	0.1345250672
433	0.1345142957
434	0.1345081577
435	0.1344304519
436	0.1344049605
437	0.1343576287
438	0.1343145414
439	0.1342850189
440	0.1342250816
441	0.134190959
442	0.1341601528
443	0.1341162545
444	0.1340162421
445	0.1339678178
446	0.1339525363
447	0.1338771852
448	0.1338239637
449	0.1337612878
450	0.1336807719
451	0.1335843736
452	0.1335596515
453	0.1335349875
454	0.1335261985
455	0.1335218326
456	0.1335026516
457	0.1334397727
458	0.1333995389
459	0.1333204128
460	0.1332696533
461	0.1332496011
462	0.1331937013
463	0.1331234201
464	0.1331217396
465	0.1330679277
466	0.1330050349
467	0.1328856637
468	0.1327848875
469	0.1327723524
470	0.1327317567
471	0.1327275264
472	0.1327072174
473	0.1326633695
474	0.1326298617
475	0.1325638773
476	0.1325606536
477	0.1325552787
478	0.1324994337
479	0.1324860769
480	0.1324275564
481	0.1323828055
482	0.1323296807
483	0.1322573763
484	0.1322538709
485	0.1322535047
486	0.1321663374
487	0.1320534312
488	0.1320409953
489	0.1320121257
490	0.1319778611
491	0.1319751135
492	0.1319381613
493	0.131922303
494	0.1318695574
495	0.1318490248
496	0.1317771539
497	0.1317299971
498	0.1317211598
499	0.1317121962
500	0.1316746798
501	0.1316170187
502	0.1315649944
503	0.1314977298
504	0.1314745509
505	0.1314728875
506	0.1314615106
507	0.131446118
508	0.1314221876
509	0.1314021344
510	0.1313966408
511	0.1313217893
512	0.1312219917
513	0.1311711814
514	0.1311465104
515	0.1310750254
516	0.1310430473
517	0.1310111124
518	0.1309314426
519	0.1308923522
520	0.1307976329
521	0.1307407783
522	0.1307055588
523	0.1306853108
524	0.1305993355
525	0.1305267545
526	0.1305003031
527	0.130463787
528	0.1304025613
529	0.1303734068
530	0.1303511957
531	0.1302819281
532	0.1302558804
533	0.1301912346
534	0.1300815979
535	0.1300363045
536	0.1300319698
537	0.1299386989
538	0.1299259019
539	0.12990836
540	0.1299043111
541	0.1298276516
542	0.1297760604
543	0.129770471
544	0.1297135489
545	0.1296172314
546	0.1295886261
547	0.1295351121
548	0.1295220199
549	0.1294341337
550	0.1294164648
551	0.1293169566
552	0.1293137968
553	0.1292427208
554	0.129197625
555	0.1291169374
556	0.1290989788
557	0.129097075
558	0.1289572252
559	0.128871231
560	0.1288613732
561	0.1288530751
562	0.1287347433
563	0.128627188
564	0.1286234272
565	0.1286151745
566	0.1286006069
567	0.128595895
568	0.1285551865
569	0.1284865944
570	0.1284619059
571	0.1284147015
572	0.1284006972
573	0.1283971751
574	0.1283711369
575	0.1283601124
576	0.1283545031
577	0.1283481744
578	0.1283442795
579	0.1283079707
580	0.1282916656
581	0.1282525919
582	0.1282081632
583	0.1282032049
584	0.1280892806
585	0.1280403372
586	0.1279858999
587	0.1279541126
588	0.127909562
589	0.1278305238
590	0.1277746593
591	0.1277432593
592	0.1277201415
593	0.1277081725
594	0.1277049881
595	0.1277043162
596	0.1276849826
597	0.1276760669
598	0.1276523562
599	0.1276415551
600	0.1276276867
601	0.1275349961
602	0.1274691283
603	0.1273750452
604	0.12736495
605	0.1273165745
606	0.1272924177
607	0.1271863378
608	0.1271200582
609	0.12707595
610	0.1270738879
611	0.1270309236
612	0.1269760711
613	0.1269251915
614	0.1268852597
615	0.126836314
616	0.1268080671
617	0.1267888961
618	0.126747127
619	0.1266763411
620	0.1265999288
621	0.1265999192
622	0.1265571719
623	0.1265544218
624	0.1265218655
625	0.1264823889
626	0.1264414718
627	0.1264013715
628	0.1263681794
629	0.1262691474
630	0.1262177453
631	0.126198066
632	0.1261932575
633	0.12614565
634	0.1261200711
635	0.1261170774
636	0.1261169272
637	0.1261155179
638	0.1259863601
639	0.1259354025
640	0.1259280925
641	0.1258933688
642	0.1258544732
643	0.1258336052
644	0.1258141924
645	0.1258141717
646	0.1257736914
647	0.1257425854
